frame,speed_px_s,speed_kmh,speed_mph,center_x,center_y
474,0.0,0.0,0.0,251.0,1007.0
475,0.0,0.0,0.0,251.0,1007.0
476,0.0,0.0,0.0,251.0,1007.0
477,0.0,0.0,0.0,251.0,1007.0
478,0.0,0.0,0.0,251.0,1007.0
479,0.0,0.0,0.0,251.0,1007.0
480,0.0,0.0,0.0,251.0,1007.0
481,0.0,0.0,0.0,251.0,1007.0
482,0.0,0.0,0.0,251.0,1007.0
483,0.0,0.0,0.0,251.0,1007.0
484,0.0,0.0,0.0,251.0,1007.0
485,0.0,0.0,0.0,251.0,1007.0
486,0.0,0.0,0.0,251.0,1007.0
487,0.0,0.0,0.0,251.0,1007.0
488,0.0,0.0,0.0,251.0,1007.0
489,0.0,0.0,0.0,251.0,1007.0
490,0.0,0.0,0.0,251.0,1007.0
491,0.0,0.0,0.0,251.0,1007.0
492,0.0,0.0,0.0,251.0,1007.0
493,0.0,0.0,0.0,251.0,1007.0
494,0.0,0.0,0.0,251.0,1007.0
495,0.0,0.0,0.0,251.0,1007.0
496,0.0,0.0,0.0,251.0,1007.0
497,0.0,0.0,0.0,251.0,1007.0
498,0.0,0.0,0.0,251.0,1007.0
499,0.0,0.0,0.0,251.0,1007.0
500,0.0,0.0,0.0,251.0,1007.0
501,0.0,0.0,0.0,251.0,1007.0
502,0.0,0.0,0.0,251.0,1007.0
503,0.0,0.0,0.0,251.0,1007.0
504,0.0,0.0,0.0,251.0,1007.0
505,0.0,0.0,0.0,251.0,1007.0
506,0.0,0.0,0.0,251.0,1007.0
507,0.0,0.0,0.0,251.0,1007.0
508,0.0,0.0,0.0,251.0,1007.0
509,0.0,0.0,0.0,251.0,1007.0
510,0.0,0.0,0.0,251.0,1007.0
511,0.0,0.0,0.0,251.0,1007.0
512,0.0,0.0,0.0,251.0,1007.0
513,0.0,0.0,0.0,251.0,1007.0
514,0.0,0.0,0.0,251.0,1007.0
515,0.0,0.0,0.0,251.0,1007.0
516,0.0,0.0,0.0,251.0,1007.0
517,0.0,0.0,0.0,251.0,1007.0
518,0.0,0.0,0.0,251.0,1007.0
519,0.0,0.0,0.0,251.0,1007.0
520,0.0,0.0,0.0,251.0,1007.0
521,0.0,0.0,0.0,251.0,1007.0
522,0.0,0.0,0.0,251.0,1007.0
523,0.0,0.0,0.0,251.0,1007.0
524,0.0,0.0,0.0,251.0,1007.0
525,0.0,0.0,0.0,251.0,1007.0
526,0.0,0.0,0.0,251.0,1007.0
527,0.0,0.0,0.0,251.0,1007.0
528,0.0,0.0,0.0,251.0,1007.0
529,0.0,0.0,0.0,251.0,1007.0
530,0.0,0.0,0.0,251.0,1007.0
531,0.0,0.0,0.0,251.0,1007.0
532,0.0,0.0,0.0,251.0,1007.0
